_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
73,3014980,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Galloway Rd: 185 Galloway Rd - Lawrence Ave E,-79.19607688135325,43.76523197544692,60010002,4669.3,4669.3,,08:15:00,366,17:15:00,408,30.6,38.8,44.2,
74,3014970,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,St Andrews Blvd: Islington Ave - York Rd,-79.55081000000001,43.700825,9963096,1347,1347,,08:15:00,118,17:15:00,167,32.3,40,47.3,
75,3014967,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Rockcliffe Blvd: Black Creek Trl - Woolner Ave,-79.488055,43.673790000000004,30007274,8580,8580,,08:15:00,553,16:30:00,702,34.7,42.5,48,
76,3014965,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Royal York Rd: La Rose Ave - Summitcrest Dr,-79.52779000000001,43.685010000000005,909246,15831.7,15831.7,,07:45:00,1136,15:30:00,1256,37.3,47.9,61.7,
77,3014964,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Beecroft Rd: Kempford Blvd - Lorraine Dr,-79.4176081184762,43.77703765193031,30132185,11922.7,11922.7,,08:15:00,1020,16:45:00,1115,40.4,47.9,53,
78,3014959,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,The East Mall: Lynnford Dr - Faludon Crt,-79.55527991435922,43.633065488305995,8087374,14372,14372,,09:15:00,767,15:15:00,1315,43.2,49.5,54.7,
79,3014926,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Bloor St W: Kingscourt Dr - Kingsmill Rd,-79.50262500000001,43.649330000000006,8264204,16693.7,16693.7,,07:45:00,1146,17:00:00,1214,40.9,47.9,52.2,
80,3014925,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Bloor St W: Pacific Ave - High Park Ave,-79.464485,43.653725,10250061,14122,14122,,08:30:00,824,15:15:00,1037,34.9,43.7,48.5,
81,3014924,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Bloor St W: Brule Ter - Riverside Dr,-79.49059,43.648015,9644,16888,16888,,07:45:00,1159,15:45:00,1248,41.3,51.2,54.9,
82,3014923,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Bloor St W: Cosmo Rd - Tom Riley Park Trl,-79.51727454948508,43.64605335880759,10756314,18044.3,18044.3,,08:15:00,1310,16:00:00,1297,36,47,53.3,
